Algoritmo,Empleados,Cantidad de Horas por Turno,Turnos Mensuales,Req1: Horas diarias maximas por empleado,Req2: Tiempo de descanso minimo por empleado minutos,Req3: Tiempo de descanso maximo por empleado minutos,Req4: Dias libres al mes,Req5: Numero de Iteraciones,Req6: Numero de Movimientos,Req7: Cantidad de Lista Tabu/Individiuos,Costo/Fitness,Tiempo en segundos,Acertividad en Costo
Genetico,143.00,,2100.00,8.00,30.00,120.00,2.00,1000.00,,300.00,213.00,35.00,0.75
Genetico,136.00,,2100.00,8.00,30.00,120.00,2.00,1000.00,,300.00,199.00,55.00,0.81
Genetico,136.00,,2100.00,8.00,30.00,120.00,2.00,1000.00,,300.00,199.00,68.00,0.81
Genetico,135.00,,2100.00,8.00,30.00,120.00,2.00,1000.00,,300.00,196.00,88.00,0.82
Genetico,133.00,,2100.00,8.00,30.00,120.00,2.00,1000.00,,300.00,194.00,67.00,0.84
Genetico,133.00,,2100.00,8.00,30.00,120.00,2.00,1000.00,,300.00,194.00,107.00,0.84
Genetico,174.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,296.00,10.00,0.60
Genetico,177.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,305.00,13.00,0.60
Genetico,177.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,305.00,17.00,0.60
Genetico,174.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,301.00,12.00,0.60
Genetico,166.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,287.00,15.00,0.61
Genetico,178.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,307.00,11.00,0.60
Genetico,168.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,294.00,11.00,0.62
Genetico,175.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,299.00,12.00,0.60
Genetico,168.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,294.00,16.00,0.69
Genetico,177.00,,2100.00,8.00,30.00,120.00,2.00,200.00,,300.00,299.00,16.00,0.60
Genetico,172.00,,2100.00,8.00,30.00,120.00,2.00,400.00,,300.00,290.00,25.00,0.60
Genetico,169.00,,2100.00,8.00,30.00,120.00,2.00,400.00,,300.00,286.00,34.00,0.72
Genetico,169.00,,2100.00,8.00,30.00,120.00,2.00,400.00,,300.00,290.00,21.00,0.70
